,Unnamed: 0,Unnamed: 0.1,min,max,mean,med,std,label,Unnamed: 0,Unnamed: 0.1,se,label
900,1.0,1.0,0.448,0.824,0.6226666666666667,0.5760000000000001,0.1550776149760714,PVC,0,0,-12.390352911829597,PVC
901,2.0,2.0,0.24,0.784,0.648,0.772,0.2221639034586852,PVC,1,1,-12.385824493491716,PVC
902,3.0,3.0,0.16,0.276,0.2013333333333333,0.168,0.0647868299373671,PVC,2,2,-12.273127788898018,PVC
903,4.0,4.0,0.768,0.784,0.776,0.776,0.0065319726474218,PVC,3,3,-12.38442747626707,PVC
904,5.0,5.0,0.176,0.208,0.192,0.192,0.0226274169979695,PVC,4,4,-12.317186337973936,PVC
905,6.0,6.0,0.776,0.792,0.784,0.784,0.0065319726474218,PVC,5,5,-12.32000064190785,PVC
906,7.0,7.0,0.116,0.384,0.2253333333333333,0.176,0.1406461280424503,PVC,6,6,-12.308376297154435,PVC
907,8.0,8.0,0.6,1.1,0.89,0.9,0.1523883926754995,PVC,7,7,-12.390896174810146,PVC
908,9.0,9.0,0.6,1.6,1.125,1.2000000000000002,0.3195979617313871,PVC,8,8,-12.305636631203752,PVC
909,10.0,10.0,0.8,1.5,1.0555555555555556,1.0,0.2403700850309326,PVC,9,9,-12.377221347457386,PVC
910,11.0,11.0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC,10,10,-12.328582087303438,PVC
911,12.0,12.0,0.104,0.344,0.2586666666666666,0.328,0.1341839533376973,PVC,11,11,-12.342654483248614,PVC
912,13.0,13.0,0.068,0.252,0.156,0.152,0.078655366420014,PVC,12,12,-12.380158654044608,PVC
913,14.0,14.0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC,13,13,-12.388925154628293,PVC
914,15.0,15.0,0.072,0.432,0.2853333333333333,0.352,0.1890326250501043,PVC,14,14,-12.195107367671111,PVC
915,16.0,16.0,-31839.066,1.6,-4547.731714285714,0.7,12034.347257735497,PVC,15,15,-12.315786164608864,PVC
916,17.0,17.0,0.184,0.232,0.2053333333333333,0.2,0.0244404037064311,PVC,16,16,-12.331856934283524,PVC
917,18.0,18.0,0.2,0.516,0.358,0.358,0.223445742854949,PVC,17,17,-12.31036826189102,PVC
918,19.0,19.0,0.336,0.816,0.632,0.672,0.1953048898517392,PVC,18,18,-12.394342186683062,PVC
919,20.0,20.0,0.128,0.448,0.264,0.216,0.1653118265581746,PVC,19,19,-12.241770008609418,PVC
920,21.0,21.0,0.6,1.5,0.94,0.9,0.3204163957519444,PVC,20,20,-12.324028237888536,PVC
921,22.0,22.0,0.06,0.176,0.0986666666666666,0.06,0.0669726312259965,PVC,21,21,-12.385670009892236,PVC
